,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
46,2020-02-24,21900850,Final,1610612755,1610612737,2019,1610612755,129.0,0.511,0.9,0.4,27.0,48.0,1610612737,112.0,0.41200000000000003,0.889,0.21100000000000002,19.0,44.0,1
47,2020-02-24,21900851,Final,1610612764,1610612749,2019,1610612764,134.0,0.48,0.758,0.429,27.0,41.0,1610612749,137.0,0.57,0.815,0.45899999999999996,26.0,45.0,0
48,2020-02-24,21900852,Final,1610612751,1610612753,2019,1610612751,113.0,0.479,0.625,0.43200000000000005,29.0,49.0,1610612753,115.0,0.494,0.8240000000000001,0.382,27.0,41.0,0
49,2020-02-24,21900853,Final,1610612745,1610612752,2019,1610612745,123.0,0.5,0.677,0.33299999999999996,20.0,38.0,1610612752,112.0,0.44,0.7,0.379,20.0,54.0,1
50,2020-02-24,21900854,Final,1610612742,1610612750,2019,1610612742,139.0,0.505,0.75,0.364,28.0,54.0,1610612750,123.0,0.442,0.706,0.35700000000000004,16.0,42.0,1
51,2020-02-24,21900855,Final,1610612762,1610612756,2019,1610612762,111.0,0.47100000000000003,0.86,0.385,16.0,30.0,1610612756,131.0,0.563,0.875,0.6,33.0,38.0,0
52,2020-02-24,21900856,Final,1610612746,1610612763,2019,1610612746,124.0,0.5,0.8240000000000001,0.43200000000000005,33.0,50.0,1610612763,97.0,0.41600000000000004,0.727,0.259,20.0,45.0,1
53,2020-02-23,21900842,Final,1610612747,1610612738,2019,1610612747,114.0,0.45299999999999996,0.6759999999999999,0.324,20.0,46.0,1610612738,112.0,0.45799999999999996,0.767,0.382,20.0,44.0,1
54,2020-02-23,21900843,Final,1610612761,1610612754,2019,1610612761,127.0,0.511,0.889,0.386,32.0,57.0,1610612754,81.0,0.326,0.647,0.242,23.0,39.0,1
55,2020-02-23,21900844,Final,1610612743,1610612750,2019,1610612743,128.0,0.589,0.647,0.36700000000000005,29.0,38.0,1610612750,116.0,0.444,0.759,0.35,26.0,38.0,1
56,2020-02-23,21900845,Final,1610612741,1610612764,2019,1610612741,126.0,0.556,0.643,0.486,27.0,37.0,1610612764,117.0,0.507,0.861,0.4,24.0,34.0,1
57,2020-02-23,21900846,Final,1610612760,1610612759,2019,1610612760,131.0,0.575,0.875,0.455,28.0,54.0,1610612759,103.0,0.369,0.8420000000000001,0.289,27.0,43.0,1
58,2020-02-23,21900847,Final,1610612744,1610612740,2019,1610612744,101.0,0.435,0.667,0.314,28.0,48.0,1610612740,115.0,0.469,0.462,0.405,34.0,52.0,0
59,2020-02-23,21900848,Final,1610612757,1610612765,2019,1610612757,107.0,0.488,0.632,0.433,20.0,41.0,1610612765,104.0,0.43,0.95,0.314,18.0,44.0,1
60,2020-02-22,21900835,Final,1610612746,1610612758,2019,1610612746,103.0,0.391,0.862,0.33299999999999996,20.0,47.0,1610612758,112.0,0.449,0.769,0.387,25.0,48.0,0
61,2020-02-22,21900836,Final,1610612766,1610612751,2019,1610612766,86.0,0.35200000000000004,0.5710000000000001,0.34299999999999997,22.0,45.0,1610612751,115.0,0.483,0.737,0.36200000000000004,26.0,54.0,0
62,2020-02-22,21900837,Final,1610612737,1610612742,2019,1610612737,111.0,0.439,0.654,0.21600000000000003,27.0,53.0,1610612742,107.0,0.449,0.684,0.318,23.0,48.0,1
63,2020-02-22,21900838,Final,1610612748,1610612739,2019,1610612748,124.0,0.57,0.75,0.475,34.0,29.0,1610612739,105.0,0.48100000000000004,0.727,0.361,29.0,40.0,1
64,2020-02-22,21900839,Final,1610612741,1610612756,2019,1610612741,104.0,0.434,0.857,0.368,18.0,38.0,1610612756,112.0,0.442,0.8390000000000001,0.33299999999999996,26.0,47.0,0
65,2020-02-22,21900840,Final,1610612749,1610612755,2019,1610612749,119.0,0.527,0.6920000000000001,0.341,35.0,57.0,1610612755,98.0,0.354,0.833,0.342,17.0,43.0,1
66,2020-02-22,21900841,Final,1610612762,1610612745,2019,1610612762,110.0,0.467,0.792,0.226,18.0,46.0,1610612745,120.0,0.489,0.7140000000000001,0.41700000000000004,20.0,42.0,0
67,2020-02-21,21900826,Final,1610612753,1610612742,2019,1610612753,106.0,0.39399999999999996,0.789,0.209,21.0,48.0,1610612742,122.0,0.512,0.8079999999999999,0.395,26.0,50.0,0
68,2020-02-21,21900827,Final,1610612764,1610612739,2019,1610612764,108.0,0.387,0.7390000000000001,0.243,24.0,47.0,1610612739,113.0,0.531,0.64,0.40700000000000003,19.0,47.0,0
